step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,pure_pursuit,3.0,250.85569763183594,-310.97308349609375,-179.4102020263672,-4.884860206058818e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,2,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,pure_pursuit,3.0,250.85569763183594,-310.97308349609375,-179.4102020263672,-4.884860206058818e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,2,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,pure_pursuit,3.0,250.85569763183594,-310.97308349609375,-179.4102020263672,-4.884860206058818e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,2,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,pure_pursuit,3.0,250.85569763183594,-310.97308349609375,-179.4102020263672,-4.884860206058818e-06,0.35,0.0,3.0517578125e-05,-1.5258789046077574e-05,0,2,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,pure_pursuit,3.0,250.85574340820312,-310.97308349609375,-179.41123962402344,5.009376079924712e-05,0.35,0.0,1.52587890625e-05,0.0010223388672067526,0,2,2.1377133054807995,79.21687843827782
5,0.25,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.4153594970703,0.00026898053774832286,0.35,0.0,0.0001220703125,0.00514221191407503,0,2,0.8317166705578665,79.2167914876255
6,0.30000000000000004,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41671752929688,0.00034140892027223474,0.35,0.0,0.0001220703125,0.006500244140651711,0,2,0.20093525345190152,79.2167914876255
7,0.35000000000000003,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41671752929688,0.00034140892027223474,0.35,0.0,0.0001220703125,0.006500244140651711,0,2,0.0758826722804231,79.2167914876255
8,0.4,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.416259765625,0.00031699485890223343,0.35,0.0,0.0001220703125,0.006042480468760495,0,2,0.17462458696615019,79.2167914876255
9,0.45,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41567993164062,0.00028607038093573985,0.35,0.0,0.0001220703125,0.005462646484398881,0,2,0.18938486968632437,79.2167914876255
10,0.5,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41506958007812,0.00025351829861578433,0.35,0.0,0.0001220703125,0.0048522949218942225,0,2,0.16895678026230102,79.2167914876255
11,0.55,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.4146270751953,0.00022991803878758484,0.35,0.0,0.0001220703125,0.004409790039099973,0,2,0.13747045673076863,79.2167914876255
12,0.6000000000000001,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41424560546875,0.00020957298712393746,0.35,0.0,0.0001220703125,0.004028320312540923,0,2,0.1059843495831091,79.2167914876255
13,0.65,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41397094726562,0.00019492454987920526,0.35,0.0,0.0001220703125,0.003753662109406193,0,2,0.0788643682779769,79.2167914876255
14,0.7000000000000001,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41372680664062,0.00018190371674363192,0.35,0.0,0.0001220703125,0.003509521484363619,0,2,0.057226647804694525,79.2167914876255
15,0.75,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41358947753906,0.00017457949809267625,0.35,0.0,0.0001220703125,0.003372192382847143,0,2,0.04074847796333809,79.2167914876255
16,0.8,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41348266601562,0.00016888288358038228,0.35,0.0,0.0001220703125,0.003265380859371933,0,2,0.028600927424194886,79.2167914876255
17,0.8500000000000001,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41348266601562,0.00016888288358038228,0.35,0.0,0.0001220703125,0.003265380859371933,0,2,0.019836838399157695,79.2167914876255
18,0.9,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41336059570312,0.000162372466990155,0.35,0.0,0.0001220703125,0.003143310546850646,0,2,0.013628751394928007,79.2167914876255
19,0.9500000000000001,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41336059570312,0.000162372466990155,0.35,0.0,0.0001220703125,0.003143310546850646,0,2,0.009289800744961935,79.2167914876255
20,1.0,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41336059570312,0.000162372466990155,0.35,0.0,0.0001220703125,0.003143310546850646,0,2,0.00628876328225077,79.2167914876255
21,1.05,ccurve,247,pure_pursuit,3.0,250.85585021972656,-310.97308349609375,-179.41336059570312,0.000162372466990155,0.35,0.0,0.0001220703125,0.003143310546850646,0,2,0.004232537543709965,79.2167914876255
22,1.1,ccurve,247,pure_pursuit,3.0,250.85311889648438,-310.97308349609375,-179.4134979248047,0.00019118522969357606,0.35,0.0,0.0026092529296875,0.0032806396484689,0,2,0.2667581306854367,79.21901495528186
